id,productgroup,main_text,manufacturer
30086133,USB MEMORY,RAMCO 1GB USB STICK USB 2.0,DIV. HERSTELLER
25761275,WASHINGMACHINES,CWF13B12,CONSTRUCTA
30008482,USB MEMORY,SANDISK CRUZER GLIDE 8GB USB,SANDISK
28957930,WASHINGMACHINES,W 7243 PB,GORENJE
25086890,WASHINGMACHINES,HGG WAM BEKO WML 15106 NE WEIÃŸ#,BEKO
72382353,CONTACT LENSES,CONTACTLINSEN MPG&E CONTACTLINSEN GMBH COMPACT PERFECT SMART FOCUS (M,MPG&E CONTACTLINSEN GMBH
66900424,WASHINGMACHINES,159277  WASCHMASCHINE WASCHMASCHINE EH19 WEISS,
49084654,USB MEMORY,32 GB ALU LINE SCHWARZ,INTENSO
42320177,BICYCLES,RALEIGH ROAD CLASSIC HS 24 TR MATTSCHWARZ 55 CM,RALEIGH
65454574,USB MEMORY,ZZ USB-STICK  16GB TAKEMS LUMX BLUE RETAIL,TAKEMS SONDERPOSTEN
28762206,WASHINGMACHINES,SIEMENS WM14U640 WASCHMASCHINE AVANTGARDE SIEMENSWM14U640,SIEMENS ELECTROGERÃ¤TE GMBH
24092083,WASHINGMACHINES,"WASCHVOLLAUTOMAT OMV510A+ OMV510A+|| EEK:A+, 1000 U/MIN, 5KG KAPAZITAET  5043487",VESTEL GERMANY GMBH
17755439,CONTACT LENSES,"AIR OPTIX NIGHT & DAY AQUA MONATSLINSEN WEICH, 6 STUECK / BC 8,6 MM / DIA 13,8 MM / -06,75 DIOPTRIEN",ALCON
56434778,WASHINGMACHINES,CANDY GO W 465 WASCHTROCKNER AKTION:0,
62236524,CONTACT LENSES,SOFLENS TORIC6 STÜCKUNISEX,B&L
67127082,BICYCLES,264147  SINGLESPEED 28 SINGLESPEED 28 SILBERFARBEN 2,
66687247,USB MEMORY,49062 VERBATIM USB-STICK PINSTRIPE/49062 8GB  PCK:000 PEH:1 MEH:STUECK,
29825170,USB MEMORY,USB S50 8GB,UNBRANDED
37681313,BICYCLES,CUBE ACCESS WLS GTC SL REEFBLUE'N'FLASHRED,CUBE
